gene	entrezgene	name	PC1
TNFSF10	8743	TNF superfamily member 10	0.0786936661656361
CCR2	729230	C-C motif chemokine receptor 2	0.0784468974711382
P2RY13	53829	purinergic receptor P2Y13	0.0781572272063443
TNFRSF1A	7132	TNF receptor superfamily member 1A	0.0768266553376725
SOS1-IT1	100505911	SOS1 intronic transcript 1	0.0765536327919031
NRBF2	29982	nuclear receptor binding factor 2	0.0763472223433001
GIMAP8	155038	GTPase, IMAP family member 8	0.0762114588698942
FGD2	221472	FYVE, RhoGEF and PH domain containing 2	0.075916511464035
CASP4	837	caspase 4	0.0756900017632638
CASP1	834	caspase 1	0.0756126048055217
CISH	1154	cytokine inducible SH2 containing protein	0.0752583725666674
ALAS1	211	5'-aminolevulinate synthase 1	0.0741438994707496
PPM1D	8493	protein phosphatase, Mg2+/Mn2+ dependent 1D	0.0729307355263103
NABP1	64859	nucleic acid binding protein 1	0.0726262217068403
SLC15A2	6565	solute carrier family 15 member 2	0.0718007415665631
RP11-809N8.4			0.0717774539089409
PPP1R10	5514	protein phosphatase 1 regulatory subunit 10	0.070301750590466
DAPP1	27071	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	0.0698531939803549
TMEM144	55314	transmembrane protein 144	0.0697083667583688
SNX27	81609	sorting nexin family member 27	0.0694756499886907
CASP10	843	caspase 10	0.0693177552697606
DLEU2	8847	deleted in lymphocytic leukemia 2 (non-protein coding)	0.0691022494023673
TLR1	7096	toll like receptor 1	0.0690725738064785
KCNJ2	3759	potassium voltage-gated channel subfamily J member 2	0.0688982576615901
PHF23	79142	PHD finger protein 23	0.0688977052177464
MOSPD2	158747	motile sperm domain containing 2	0.0679855851163856
WSB1	26118	WD repeat and SOCS box containing 1	0.0676589313017144
MFAP1	4236	microfibril associated protein 1	0.0674832057789961
FPR2	2358	formyl peptide receptor 2	0.0674104884820119
SNX20	124460	sorting nexin 20	0.0671469526265288
HORMAD1	84072	HORMA domain containing 1	0.0665984194835844
RNU4ATAC11P	106481158	RNA, U4atac small nuclear 11, pseudogene	0.0665306461003425
OAS1	4938	2'-5'-oligoadenylate synthetase 1	0.0664421839946238
RCBTB2	1102	RCC1 and BTB domain containing protein 2	0.0664305853392217
COPB2	9276	coatomer protein complex subunit beta 2	0.0659059920036263
ASAP1-IT1	29065	ASAP1 intronic transcript 1	0.06550358102458
SLC25A44	9673	solute carrier family 25 member 44	0.0653910722254285
SERPINA1	5265	serpin family A member 1	0.0651182226209595
MIR15A	406948	microRNA 15a	0.0650530035699524
RNU6-100P	106481208	RNA, U6 small nuclear 100, pseudogene	0.0648598268226758
TMEM60	85025	transmembrane protein 60	0.064756186233119
NQO2	4835	N-ribosyldihydronicotinamide:quinone reductase 2	0.0646914073468499
CCR1	1230	C-C motif chemokine receptor 1	0.0645442548401895
SLFN12	55106	schlafen family member 12	0.06381647291174
FAR1	84188	fatty acyl-CoA reductase 1	0.0636291085788277
