gene	ISV	WSV	pv	pv.BH	pv.Bonf
A1BG	0.432699328465155	0.567300671534845	0.0710192000058176	0.103499066401273	1
A1CF	0.475761815140319	0.524238184859681	0.0117462416762722	0.0228809841818579	1
A2LD1	0.683689567424834	0.316310432575166	1.90525868417505e-10	2.22304281764561e-09	3.51463069469771e-06
A2M	0.642782939367226	0.357217060632774	2.89542814370709e-08	2.27478547559475e-07	0.000534119629669648
A2ML1	0.401248645778433	0.598751354221567	0.18947997213633	0.235614226221698	1
A3GALT2	0.574459301174572	0.425540698825428	2.06038359710238e-05	8.90740478456704e-05	0.380078962157475
A4GALT	0.434344380608786	0.565655619391214	0.0669588285545481	0.0985078164403659	1
A4GNT	0.356670043786708	0.643329956213292	0.488734605160866	0.527017435050126	1
AAAS	0.461587727042116	0.538412272957884	0.0225573460135564	0.0397929962620326	1
AACS	0.586059816600883	0.413940183399118	7.77258063840204e-06	3.70493010430497e-05	0.143380795036602
AADAC	0.33944914150428	0.66055085849572	0.62118624038687	0.648685116128876	1
AADACL2	0.33693165366971	0.66306834633029	0.639938074836569	0.665817127270738	1
AADACL3	0.363204578026309	0.636795421973691	0.438507062318695	0.480352718443763	1
AADACL4	0.437597557857246	0.562402442142754	0.0594655825030825	0.0892128822734517	1
AADAT	0.363788778203299	0.636211221796701	0.434065143773791	0.476335497156164	1
AAGAB	0.495654885873665	0.504345114126336	0.00423843548181425	0.00956174872606425	1
AAK1	0.645538164830133	0.354461835169867	2.12372979279055e-08	1.70629109266582e-07	0.000391764434876073
AAMP	0.533378275569682	0.466621724430318	0.000432948648740995	0.0013371176499791	1
AANAT	0.378635930686764	0.621364069313236	0.325983809227251	0.372856109177523	1
AARS	0.451807472203273	0.548192527796727	0.0341737844934764	0.0562408602507948	1
AARS2	0.518284005012736	0.481715994987264	0.00114124899938981	0.00310373290457672	1
AARSD1	0.482606757830341	0.517393242169659	0.00838643207216826	0.0171228015977076	1
AASDH	0.567695635633479	0.432304364366521	3.55055973217741e-05	0.000145711179932095	0.654971753794766
AASDHPPT	0.485920356737007	0.514079643262993	0.00708753561583451	0.0148521832903896	1
AASS	0.844012147029071	0.155987852970929	5.70836893184848e-25	6.6227850116861e-23	1.05302281685809e-20
AATF	0.543327209183943	0.456672790816057	0.000218988608246346	0.000733021748561121	1
AATK	0.443634927382783	0.556365072617217	0.0473302963017076	0.0738433515763245	1
ABAT	0.728065811296256	0.271934188703744	2.49845199474835e-13	4.84127562469778e-12	4.60889439471229e-09
ABCA1	0.6535013121937	0.3464986878063	8.48218425306943e-09	7.34260220161294e-08	0.000156470852916372
ABCA10	0.563698397974253	0.436301602025747	4.85761989514636e-05	0.000192830889188218	0.896085142057649
ABCA12	0.448190005134473	0.551809994865527	0.0395675448715806	0.0635861182350827	1
ABCA13	0.78249988307954	0.217500116920461	7.57010517959779e-18	2.8912159471644e-16	1.3964573024804e-13
ABCA2	0.743124472069304	0.256875527930696	1.86751760540929e-14	4.34975975593246e-13	3.44500972669851e-10
ABCA3	0.577494557161472	0.422505442838528	1.60469497212289e-05	7.1123998440055e-05	0.296018081507509
ABCA4	0.369661574333394	0.630338425666606	0.390071430533229	0.434388631394294	1
ABCA5	0.483803046847289	0.516196953152711	0.00789519620133291	0.0162547638756683	1
ABCA6	0.47029537702554	0.52970462297446	0.0152160144518828	0.0285098425998204	1
ABCA7	0.606645986348716	0.393354013651284	1.20415702872454e-06	6.82010583631609e-06	0.0222130847088815
ABCA8	0.32230942031516	0.67769057968484	0.741987799994671	0.760118228827772	1
ABCA9	0.378315470664799	0.621684529335201	0.328192170744226	0.37496395231836	1
ABCB1	0.742003584005531	0.257996415994469	2.28057440179957e-14	5.27189924686675e-13	4.20697559899967e-10
ABCB10	0.416698806357158	0.583301193642842	0.121034135781745	0.161627095900235	1
